S.No.,State,AWS,Agro AWS,ARG
1,Andaman and Nicobar,1,NA,NA
2,Andhra Pradesh,39,9,61
3,Arunachal Pradesh,16,3,25
4,Assam,36,8,58
5,Bihar,43,14,29
6,Chandigarh,2,NA,NA
7,Chhattisgarh,26,9,31
8,Daman and Diu,2,NA,1
9,Delhi,12,1,1
10,Goa,4,2,5
11,Gujarat,45,9,65
12,Haryana,32,6,33
13,Himachal Pradesh,28,4,66
14,Jammu and Kashmir,30,4,14
15,Jharkhand,32,17,28
16,Karnataka,36,12,45
17,Kerala,101,3,30
18,Ladakh,12,NA,NA
19,Lakshadweep,2,1,NA
20,Madhya Pradesh,66,14,101
21,Maharashtra,64,10,122
22,Manipur,12,1,8
23,Meghalaya,11,2,15
24,Mizoram,12,1,16
25,Nagaland,12,2,13
26,Odisha,40,10,177
27,Puducherry,3,1,1
28,Punjab,30,5,31
29,Rajasthan,50,9,64
30,Sikkim,5,2,4
31,Tamil Nadu,47,10,79
32,Telangana,14,4,54
33,Tripura,10,1,14
34,Uttarakhand,28,3,22
35,Uttar Pradesh,70,17,132
36,West Bengal,33,6,37
Total,Total,1006,200,1382
