country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",20-03-2026 16:00,13.615387,79.40923,OZONE,15,32,24
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",20-03-2026 16:00,16.536107,80.594233,PM2.5,47,184,65
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",20-03-2026 16:00,16.536107,80.594233,CO,21,46,35
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",20-03-2026 16:00,16.536107,80.594233,OZONE,22,57,42
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",20-03-2026 16:00,16.486692,80.699436,OZONE,45,70,58
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",20-03-2026 16:00,16.509717,80.612222,SO2,13,22,19
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",20-03-2026 16:00,16.509717,80.612222,OZONE,43,71,65
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",20-03-2026 16:00,16.554731,80.64911,NO2,20,26,25
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",20-03-2026 16:00,16.554731,80.64911,SO2,3,14,10
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",20-03-2026 16:00,17.72,83.3,PM2.5,14,83,37
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",20-03-2026 16:00,17.72,83.3,NH3,3,4,3
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",20-03-2026 16:00,17.72,83.3,SO2,1,101,22
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-03-2026 16:00,16.9872867,81.7363176,NO2,10,35,22
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-03-2026 16:00,16.9872867,81.7363176,CO,12,42,21
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",20-03-2026 16:00,13.615387,79.40923,SO2,12,24,16
India,Assam,Silchar,"Tarapur, Silchar - PCBA",20-03-2026 16:00,24.82827,92.79525,CO,8,52,47
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",20-03-2026 16:00,26.987634,94.636574,PM10,20,33,25
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",20-03-2026 16:00,26.987634,94.636574,NH3,1,6,4
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",20-03-2026 16:00,13.20488,79.097889,SO2,10,20,12
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",20-03-2026 16:00,13.20488,79.097889,OZONE,21,38,28
India,Andhra_Pradesh,Eluru,"District Court, Eluru - APPCB",20-03-2026 16:00,16.711754,81.092095,NO2,13,37,21
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",20-03-2026 16:00,26.446912,91.439057,NO2,11,19,14
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",20-03-2026 16:00,26.446912,91.439057,CO,16,28,21
India,Assam,Silchar,"Tarapur, Silchar - PCBA",20-03-2026 16:00,24.82827,92.79525,PM10,40,69,53
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",20-03-2026 16:00,24.75746,84.366208,SO2,4,21,12
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",20-03-2026 16:00,25.42742023,86.13886079,PM2.5,40,90,63
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-03-2026 16:00,16.5150833,80.5181667,NH3,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-03-2026 16:00,16.5150833,80.5181667,SO2,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-03-2026 16:00,16.5150833,80.5181667,CO,8,40,29
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",20-03-2026 16:00,26.146529,87.454184,OZONE,9,11,10
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-03-2026 16:00,26.1875,91.744194,OZONE,11,28,16
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",20-03-2026 16:00,25.610369,85.132568,CO,12,33,29
India,Bihar,Patna,"Muradpur, Patna - BSPCB",20-03-2026 16:00,25.619651,85.147382,OZONE,15,101,66
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",20-03-2026 16:00,25.599486,85.113666,PM2.5,85,131,95
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",20-03-2026 16:00,25.599486,85.113666,PM10,91,129,109
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",20-03-2026 16:00,25.599486,85.113666,NH3,4,4,4
India,Bihar,Patna,"Samanpura, Patna - BSPCB",20-03-2026 16:00,25.596727,85.085624,NH3,14,21,17
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",20-03-2026 16:00,25.366336,87.117468,NH3,2,3,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",20-03-2026 16:00,25.56752,83.966379,CO,16,31,24
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",20-03-2026 16:00,25.7808257,84.7446768,NH3,2,8,5
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",20-03-2026 16:00,25.7808257,84.7446768,SO2,20,22,21
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",20-03-2026 16:00,25.7808257,84.7446768,OZONE,7,32,21
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",20-03-2026 16:00,24.7955,84.9994,PM2.5,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",20-03-2026 16:00,24.792403,84.992416,PM2.5,48,270,103
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",20-03-2026 16:00,26.1209,85.3647,PM2.5,90,143,114
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",20-03-2026 16:00,26.1209,85.3647,CO,12,102,55
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",20-03-2026 16:00,25.586562,85.043586,NO2,44,54,50
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",20-03-2026 16:00,25.586562,85.043586,CO,38,64,49
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",20-03-2026 16:00,25.592539,85.227158,PM10,112,147,126
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-03-2026 16:00,25.251013,86.989001,NO2,5,17,9
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-03-2026 16:00,25.251013,86.989001,CO,8,14,10
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-03-2026 16:00,25.251013,86.989001,OZONE,9,30,15
