month,hour,wind_speed,wind_direction,temperature,pressure,pm25,pm10,fire_points_100km
3,20,3.1,140,22.5,989.0,24.227478362779728,38.627944174958,1
3,21,2.1,149,22.1,988.1,20.03898965862401,36.217005849077694,6
3,22,0.5,225,22.1,987.8,30.898929538409607,53.69983225860691,0
3,23,0.9,307,21.5,987.8,21.744132923234105,32.55831090732863,2
3,0,2.6,254,20.0,988.2,36.40518990609577,57.73710019037417,3
3,1,5.7,156,20.1,989.9,34.95509056670412,67.81252496447327,1
3,2,7.5,165,21.1,990.7,38.28417526313456,69.4055598166388,0
3,3,5.4,165,24.0,991.7,36.63015855338016,72.95205932656106,4
3,4,6.2,172,27.5,992.1,71.9513154656762,133.84437795841035,2
3,5,8.5,178,30.0,992.1,75.75372554803957,148.87005933078098,2
3,6,7.9,184,31.6,991.8,63.51268905889712,97.1561952846491,2
3,7,6.7,186,32.7,990.7,80.69959383455523,150.33454099671448,1
3,8,5.7,193,33.5,989.4,65.51697970153438,92.5185260964313,0
3,9,5.7,208,33.8,988.2,68.49823565645228,123.4650567407074,2
3,10,5.8,231,33.8,987.8,38.65336023261042,64.99830649383165,4
3,11,6.6,253,33.5,987.3,21.26523347587292,34.19568719991654,1
3,12,6.5,264,32.7,987.3,28.491628666322484,54.6310628723045,2
3,13,2.7,328,31.1,987.2,43.11946449962139,82.46858956750187,2
3,14,3.8,31,29.4,987.6,47.77804226750881,67.52857825408327,2
3,15,4.5,53,28.3,988.5,47.66551380493432,84.16314422388297,1
3,16,6.0,51,27.3,988.9,44.78240699060156,72.57881721112177,2
3,17,6.7,46,26.4,988.8,24.526336436029997,40.4536559501243,1
3,18,5.4,48,25.0,988.2,17.67603966650637,33.57076659945714,2
3,19,5.1,82,24.2,987.3,15.398854135458922,24.42110225791367,1
3,20,5.8,112,23.5,986.8,36.115802115196765,70.99750149925144,3
3,21,5.8,116,22.6,986.0,44.05849624720401,66.43053250513833,0
3,22,5.5,136,21.8,985.5,24.407044292042603,43.8749193331458,1
3,23,5.3,147,21.2,985.3,38.02759940376026,68.5737645126465,3
3,0,6.3,145,20.9,985.2,39.64860525713949,61.50755920192495,3
3,1,8.1,145,21.0,986.1,36.72991472683617,58.57871792248271,1
3,2,8.5,144,22.2,986.7,53.43206758676558,101.56790030758864,3
3,3,4.1,135,25.1,987.5,74.75385366552828,138.82412226205938,6
3,4,4.3,138,29.0,988.1,92.44767008571844,147.6812265419506,4
3,5,5.5,153,31.8,987.9,81.81464022880702,140.75177399150846,2
3,6,4.9,172,33.5,987.0,80.1949905681581,115.24085726117626,3
3,7,4.2,187,34.8,986.2,88.34444298239576,134.7471433985794,2
3,8,3.9,214,35.8,985.0,105.34317559099158,178.18717409003503,4
3,9,5.5,259,36.4,983.8,94.02124446421308,136.4797567992113,2
3,10,8.7,283,36.4,983.0,88.23423536783451,168.17440081187553,1
3,11,9.7,299,35.9,982.6,69.21578722096065,126.7205211466285,0
3,12,7.6,326,35.2,982.5,50.75110913765453,99.78582603574472,4
3,13,7.2,18,33.1,983.0,64.26388555980205,116.7083665143522,1
3,14,7.6,18,31.2,983.4,84.58109743238418,166.13764446105128,0
3,15,7.1,10,29.9,983.9,81.44283586544077,141.11661524669628,1
3,16,5.6,22,28.8,984.3,94.75154574727706,166.77514875683107,3
3,17,4.4,78,27.2,984.0,97.10093154826389,192.86018386750925,1
3,18,5.6,83,26.5,983.4,84.11404207436064,150.16690575001311,3
3,19,4.1,113,25.0,982.8,87.52357194955079,124.1497310142291,2
3,20,3.9,137,24.1,982.2,108.24176325158524,198.545881825548,3
3,21,4.5,146,23.5,981.5,103.28019633977746,200.70246545777275,2
3,22,4.0,177,22.7,981.1,127.62183154300982,239.5906093311321,3
3,23,1.5,210,22.5,981.2,86.76347182736268,151.86210157909542,1
3,0,1.5,194,22.3,981.4,101.61566221025475,183.1908977105975,1
3,1,1.5,277,21.8,982.0,103.95980201280186,207.3078082371061,1
3,2,4.3,222,23.4,982.9,100.27871155453369,145.84508262988285,3
3,3,3.6,210,27.5,984.0,102.82725204711284,185.1247241685596,5
3,4,4.5,209,31.2,984.9,73.93099312338816,116.074514177833,1
3,5,6.8,205,34.0,984.9,74.44281549348666,132.81002046621148,0
3,6,7.0,198,35.7,984.7,83.5552225168142,147.43938537720678,2
3,7,5.6,184,36.8,983.9,108.56811093625552,161.99166633410488,2
3,8,5.4,178,37.5,982.7,101.13724656852526,154.13801708840302,2
3,9,7.1,186,37.9,981.6,85.29611786827492,151.22811887109285,2
3,10,9.8,210,37.8,980.9,75.64015042767939,111.71581010078566,0
3,11,12.2,225,37.0,980.7,88.20716715044257,137.5245462772522,1
3,12,10.7,228,36.0,980.7,90.7177170802936,172.4677454877736,3
3,13,2.8,125,34.2,980.8,80.09954231575865,127.8592871977242,2
3,14,4.9,82,32.8,981.3,86.18859958088314,145.90317224130192,2
3,15,4.4,55,31.3,982.1,85.42590286301544,167.8349217186022,2
3,16,6.8,87,30.1,982.8,97.81298743470724,150.2690609919182,1
3,17,5.4,76,28.5,982.7,83.90089228307623,137.0752315041298,1
3,18,5.1,129,27.2,982.4,76.9958708558021,135.81106593727165,4
3,19,4.5,130,26.5,982.3,69.81466147323954,129.38076505906275,5
3,20,4.3,158,26.0,981.9,47.280471103933806,91.7710176832478,2
3,21,4.8,167,25.6,981.2,53.39422814950907,104.08050354724048,1
3,22,2.5,201,25.2,981.0,63.1706344172565,117.87539591134944,3
